timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
1.72,0,0,0,0,0,0,0,0,0,0,0,0.264,-0.264,-0.062,0,0,1.21,0,0,1.16,0.48,0.22,0.19,0,0,0.31,0,0,1.64,0.41,0
1.76,0,0,0,0,0,0,0,0,0,0,0,0.267,-0.278,-0.057,0,0,1.17,0,0,1.08,0.28,0.1,0.4,0,0,1,0.4,0,2.2,0.65,0
1.8,0,0,0,0,0,0,0,0,0,0,0,0.264,-0.28,-0.055,0,0,1.1,0,0,0.98,0.06,0,0.62,0,0,1.75,0.75,0,2.53,0.98,0
1.84,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.281,-0.054,0,0,1.05,0,0,0.88,0.06,0,0.7,0,0,2.22,1.7,0,2.49,0.68,0
1.88,0,0,0,0,0,0,0,0,0,0,0,0.264,-0.274,-0.059,0,0,1.06,0,0,0.86,0,0,0.7,0,0,2.31,2.08,0,2.71,0.63,0
1.92,0,0,0,0,0,0,0,0,0,0,0,0.257,-0.267,-0.068,0,0,0.97,0,0,0.81,0,0,0.7,0,0,2.45,2.51,0,2.94,0.35,0
1.96,0,0,0,0,0,0,0,0,0,0,0,0.254,-0.257,-0.074,0,0,0.89,0,0,0.81,0.02,0,0.62,0,0,2.44,2.42,0,2.87,0.24,0
2,0,0,0,0,0,0,0,0,0,0,0,0.251,-0.246,-0.081,0,0,0.82,0,0,0.89,0.09,0,0.6,0,0,2.46,2.61,0,2.64,0.14,0
2.04,0,0,0,0,0,0,0,0,0,0,0,0.254,-0.235,-0.082,0,0,0.87,0,0,1,0.14,0,0.54,0,0,2.38,2.68,0,2.52,0.22,0
2.08,0,0,0,0,0,0,0,0,0,0,0,0.257,-0.232,-0.084,0,0,0.95,0,0,1.2,0.18,0,0.54,0,0,2.22,2.63,0,2.54,0.44,0.41
2.12,0,0,0,0,0,0,0,0,0,0,0,0.242,-0.214,-0.086,0,0,1,0,0,1.04,0.15,0,0.51,0,0,2.19,2.14,0,1.99,0.74,1.16
2.16,0,0,0,0,0,0,0,0,0,0,0,0.25,-0.21,-0.086,0,0,1.13,0,0,1.2,0.13,0,0.46,0,0,1.96,1.3,0,1.26,1.3,1.51
2.2,0,0,0,0,0,0,0,0,0,0,0,0.265,-0.201,-0.083,0,0,1.16,0,0,1.25,0.07,0,0.38,0,0,1.78,0.79,0,0.46,1.95,1.1
2.24,0,0,0,0,0,0,0,0,0,0,0,0.278,-0.195,-0.081,0,0,1.22,0,0.03,1.56,0.03,0.04,0.35,0,0,1.45,0.51,0,0.27,2.4,0.72
2.28,0,0,0,0,0,0,0,0,0,0,0,0.267,-0.196,-0.087,0,0,1.25,0,0.09,1.63,0.01,0.14,0.38,0,0,1.25,0.64,0,0.23,2.48,0.82
2.32,0,0,0,0,0,0,0,0,0,0,0,0.262,-0.191,-0.093,0,0,1.23,0,0.09,1.45,0.01,0.27,0.44,0,0.02,1.18,0.73,0,0.24,2.4,1.47
2.36,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.191,-0.098,0,0,1.28,0,0.11,1.54,0.01,0.4,0.44,0,0.14,1,0.94,0,0.44,2.25,1.87
2.4,0,0,0,0,0,0,0,0,0,0,0,0.268,-0.209,-0.099,0,0,1.22,0,0.08,1.49,0,0.45,0.4,0,0.14,0.87,1.22,0,0.88,2.22,1.87
2.44,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.211,-0.107,0,0,1.18,0,0.08,1.58,0,0.39,0.39,0,0.12,0.87,1.02,0,0.76,2.08,1.41
2.48,0,0,0,0,0,0,0,0,0,0,0,0.233,-0.211,-0.125,0,0,0.87,0,0.04,1.33,0,0.21,0.4,0,0,1.15,0.78,0,0.45,1.92,0.83
2.52,0,0,0,0,0,0,0,0,0,0,0,0.22,-0.204,-0.145,0,0,0.62,0,0,1.17,0,0.07,0.44,0,0,1.54,0.65,0,0.01,1.72,0.59
2.56,0,0,0,0,0,0,0,0,0,0,0,0.227,-0.205,-0.146,0,0,0.42,0,0,1.01,0,0,0.5,0,0,1.83,0.51,0,0,1.59,0.59
2.6,0,0,0,0,0,0,0,0,0,0,0,0.214,-0.206,-0.161,0,0,0.27,0,0,0.77,0,0,0.5,0,0,1.85,0.33,0,0,1.74,0.45
2.64,0,0,0,0,0,0,0,0,0,0,0,0.21,-0.206,-0.173,0,0,0.11,0,0,0.46,0,0,0.49,0,0,1.85,0.16,0,0,1.76,0.28
2.68,0,0,0,0,0,0,0,0,0,0,0,0.195,-0.198,-0.183,0,0,0,0,0,0.29,0,0,0.51,0,0,1.85,0.26,0,0,1.85,0.16
2.72,0,0,0,0,0,0,0,0,0,0,0,0.184,-0.178,-0.197,0.47,0,0,0.25,0,0.25,0,0,0.66,0,0,2.01,0.26,0,0,1.96,0.14
2.76,0,0,0,0,0,0,0,0,0,0,0,0.176,-0.131,-0.193,0.86,0,0,0.38,0,0.38,0,0,0.63,0,0,1.38,0.18,0,0.14,1.47,0.22
2.8,0,0,0,0,0,0,0,0,0,0,0,0.192,-0.138,-0.171,1.61,0.2,0,0.51,0,0.44,0,0,0.49,0,0,0.73,0.02,0,0.2,0.88,0.29
2.84,0,0,0,0,0,0,0,0,0,0,0,0.155,-0.114,-0.156,2.1,0.62,0,0.38,0,0.52,0,0,0.3,0,0,0.04,0.02,0,0.24,0.08,0.35
2.88,0,0,0,0,0,0,0,0,0,0,0,0.144,-0.093,-0.144,2.62,1.04,0,0.42,0,0.48,0,0,0.33,0,0,0.04,0,0,0.24,0,0.23
2.92,0,0,0,0,0,0,0,0,0,0,0,0.142,-0.08,-0.137,2.8,1.31,0,0.48,0,0.55,0,0,0.39,0,0,0.04,0,0,0.26,0,0.09
2.96,0,0,0,0,0,0,0,0,0,0,0,0.15,-0.066,-0.129,2.79,1.43,0,0.57,0,0.6,0,0,0.44,0,0,0,0,0,0.28,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0.16,-0.037,-0.12,2.84,1.56,0,0.65,0,0.68,0,0,0.46,0,0,0,0,0,0.25,0,0.02
3.04,0,0,0,0,0,0,0,0,0,0,0,0.157,-0.037,-0.119,2.81,1.47,0,0.76,0,0.88,0,0,0.53,0.07,0,0,0,0,0.47,0.49,0.02
3.08,0,0,0,0,0,0,0,0,0,0,0,0.171,-0.002,-0.106,2.66,1.35,0,0.87,0,0.99,0,0,0.49,0.2,0,0,0,0,1.04,1.2,0.02
3.12,0,0,0,0,0,0,0,0,0,0,0,0.193,0.035,-0.105,2.39,1.17,0,0.85,0,1.15,0,0,0.4,0.32,0,0,0,0,1.42,1.93,0
3.16,0,0,0,0,0,0,0,0,0,0,0,0.195,0.069,-0.1,2.21,1.08,0,0.81,0,1.18,0,0,0.26,0.28,0,0.02,0,0,1.46,2.18,0
