Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
EyebrowUpN-null,3,Dom,Lstn,-0.34608333333333335,3,17,0.01775147928994083,0.17647058823529413,1.2966751918158568,1.0490278951817413
EyebrowUpL-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
SmileH-null,3,Dom,Lstn,-0.34608333333333335,4,21,0.023668639053254437,0.19047619047619047,1.3995859213250517,1.0671771667246779
SmileN-null,3,Dom,Lstn,-0.34608333333333335,8,35,0.047337278106508875,0.22857142857142856,1.679503105590062,1.1198772737234275
SmileL-null,3,Dom,Lstn,-0.34608333333333335,3,19,0.01775147928994083,0.15789473684210525,1.160183066361556,1.025887573964497
GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,7,32,0.04142011834319527,0.21875,1.607336956521739,1.1057988165680472
GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,5,26,0.029585798816568046,0.19230769230769232,1.4130434782608696,1.0695970695970696
RestArmsCrossed-null,3,Dom,Lstn,-0.34608333333333335,5,26,0.029585798816568046,0.19230769230769232,1.4130434782608696,1.0695970695970696
RestHandsTogether-null,3,Dom,Lstn,-0.34608333333333335,2,18,0.011834319526627219,0.1111111111111111,0.8164251207729468,0.9718934911242604
RestUnder-null,3,Dom,Lstn,-0.34608333333333335,2,15,0.011834319526627219,0.13333333333333333,0.9797101449275362,0.9968138370505234
HeadAt-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,3,11,0.01775147928994083,0.2727272727272727,2.0039525691699605,1.1878698224852071
HeadAt-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,4,10,0.023668639053254437,0.4,2.939130434782609,1.4398422090729783
HeadDownN-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,4,15,0.023668639053254437,0.26666666666666666,1.9594202898550723,1.178052716514255
HeadAt-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,4,18,0.023668639053254437,0.2222222222222222,1.6328502415458936,1.110735418427726
HeadDownL-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,10,0.011834319526627219,0.2,1.4695652173913045,1.0798816568047336
HeadAt-HeadUpL-null,3,Dom,Lstn,-0.34608333333333335,2,7,0.011834319526627219,0.2857142857142857,2.0993788819875774,1.2094674556213016
HeadUpL-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,3,9,0.01775147928994083,0.3333333333333333,2.4492753623188404,1.2958579881656802
HeadAt-HeadNodNY-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
HeadAt-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,13,0.011834319526627219,0.15384615384615385,1.1304347826086958,1.020979020979021
HeadNodNN-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,3,10,0.01775147928994083,0.3,2.2043478260869565,1.2341504649196957
HeadAt-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,3,11,0.01775147928994083,0.2727272727272727,2.0039525691699605,1.1878698224852071
HeadNodLN-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,3,13,0.01775147928994083,0.23076923076923078,1.6956521739130435,1.123076923076923
EyebrowUpN-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadAt-SmileH-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
SmileH-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
HeadAt-SmileN-null,3,Dom,Lstn,-0.34608333333333335,3,10,0.01775147928994083,0.3,2.2043478260869565,1.2341504649196957
SmileN-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,4,11,0.023668639053254437,0.36363636363636365,2.6719367588932808,1.3575655114116651
SmileL-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadAt-GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
GestAdaptorArms-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,4,11,0.023668639053254437,0.36363636363636365,2.6719367588932808,1.3575655114116651
HeadAt-RestArmsCrossed-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
RestArmsCrossed-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
RestHandsTogether-HeadAt-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadDownN-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
HeadDownH-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
HeadDownN-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,3,11,0.01775147928994083,0.2727272727272727,2.0039525691699605,1.1878698224852071
HeadDownL-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,4,7,0.023668639053254437,0.5714285714285714,4.198757763975155,2.0157790927021693
HeadDownN-HeadUpL-null,3,Dom,Lstn,-0.34608333333333335,2,7,0.011834319526627219,0.2857142857142857,2.0993788819875774,1.2094674556213016
HeadNodNY-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
HeadDownN-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,15,0.011834319526627219,0.13333333333333333,0.9797101449275362,0.9968138370505234
HeadNodNN-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,3,13,0.01775147928994083,0.23076923076923078,1.6956521739130435,1.123076923076923
