Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadAt-EyebrowUpN-null,2,Dom,Spk,0.22555999999999998,8,52,0.03686635944700461,0.15384615384615385,0.6813186813186813,0.9149560117302052
EyebrowUpN-HeadAt-null,2,Dom,Spk,0.22555999999999998,8,50,0.03686635944700461,0.16,0.7085714285714286,0.9216589861751152
RestArmsCrossed-HeadAt-null,2,Dom,Spk,0.22555999999999998,8,26,0.03686635944700461,0.3076923076923077,1.3626373626373627,1.118279569892473
HeadDownN-HeadDownN-null,2,Dom,Spk,0.22555999999999998,11,37,0.05069124423963134,0.2972972972972973,1.3166023166023166,1.1017369727047148
HeadDownN-EyebrowUpN-null,2,Dom,Spk,0.22555999999999998,13,40,0.059907834101382486,0.325,1.4392857142857143,1.146953405017921
EyebrowUpN-HeadDownN-null,2,Dom,Spk,0.22555999999999998,8,37,0.03686635944700461,0.21621621621621623,0.9575289575289576,0.9877641824249166
HeadDownN-GestAdaptorArms-null,2,Dom,Spk,0.22555999999999998,8,26,0.03686635944700461,0.3076923076923077,1.3626373626373627,1.118279569892473
HeadDownN-RestHandsTogether-null,2,Dom,Spk,0.22555999999999998,8,27,0.03686635944700461,0.2962962962962963,1.312169312169312,1.100169779286927
RestHandsTogether-RestHandsTogether-null,2,Dom,Spk,0.22555999999999998,9,33,0.041474654377880185,0.2727272727272727,1.2077922077922076,1.064516129032258
HeadAt-HeadDownN-HeadAt-null,2,Dom,Spk,0.22555999999999998,8,39,0.03686635944700461,0.20512820512820512,0.9084249084249084,0.9739854318418313
HeadDownN-HeadAt-HeadDownN-null,2,Dom,Spk,0.22555999999999998,10,31,0.04608294930875576,0.3225806451612903,1.4285714285714286,1.1428571428571428
HeadAt-null,3,Dom,Spk,-0.34608333333333335,12,124,0.055299539170506916,0.0967741935483871,0.8749999999999999,0.9846938775510204
HeadDownN-null,3,Dom,Spk,-0.34608333333333335,11,95,0.05069124423963134,0.11578947368421053,1.0469298245614034,1.0058700899714725
HeadDownH-null,3,Dom,Spk,-0.34608333333333335,6,21,0.027649769585253458,0.2857142857142857,2.583333333333333,1.2451612903225806
HeadDownL-null,3,Dom,Spk,-0.34608333333333335,9,94,0.041474654377880185,0.09574468085106383,0.865691489361702,0.9835727839522906
HeadUpL-null,3,Dom,Spk,-0.34608333333333335,8,55,0.03686635944700461,0.14545454545454545,1.315151515151515,1.0407883125796649
HeadNodLN-null,3,Dom,Spk,-0.34608333333333335,8,48,0.03686635944700461,0.16666666666666666,1.5069444444444442,1.0672811059907834
EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,9,86,0.041474654377880185,0.10465116279069768,0.9462209302325582,0.9933568735412054
SmileN-null,3,Dom,Spk,-0.34608333333333335,4,35,0.018433179723502304,0.11428571428571428,1.0333333333333332,1.0041623309053072
GestObjectManipulation-null,3,Dom,Spk,-0.34608333333333335,5,45,0.02304147465437788,0.1111111111111111,1.0046296296296295,1.0005760368663597
GestAdaptorArms-null,3,Dom,Spk,-0.34608333333333335,9,57,0.041474654377880185,0.15789473684210525,1.4276315789473684,1.0561635944700463
RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,7,62,0.03225806451612903,0.11290322580645161,1.0208333333333333,1.0025974025974027
RestOver-null,3,Dom,Spk,-0.34608333333333335,5,36,0.02304147465437788,0.1388888888888889,1.255787037037037,1.0328526832168872
HeadAt-HeadAt-null,3,Dom,Spk,-0.34608333333333335,7,66,0.03225806451612903,0.10606060606060606,0.9589646464646464,0.9949230649066626
HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,7,56,0.03225806451612903,0.125,1.1302083333333333,1.0164581961816985
HeadDownN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,7,63,0.03225806451612903,0.1111111111111111,1.0046296296296295,1.0005760368663597
HeadAt-HeadDownH-null,3,Dom,Spk,-0.34608333333333335,4,10,0.018433179723502304,0.4,3.6166666666666667,1.4823348694316438
HeadAt-HeadDownL-null,3,Dom,Spk,-0.34608333333333335,5,43,0.02304147465437788,0.11627906976744186,1.0513565891472867,1.006427358719379
HeadDownL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,58,0.02304147465437788,0.08620689655172414,0.7794540229885057,0.9733066689853057
HeadAt-HeadUpL-null,3,Dom,Spk,-0.34608333333333335,5,23,0.02304147465437788,0.21739130434782608,1.9655797101449273,1.1364567332309268
HeadUpL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,27,0.018433179723502304,0.14814814814814814,1.3395061728395061,1.0440793428170707
HeadAt-HeadNodLN-null,3,Dom,Spk,-0.34608333333333335,5,22,0.02304147465437788,0.22727272727272727,2.054924242424242,1.1509894280292763
HeadNodLN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,6,32,0.027649769585253458,0.1875,1.6953125,1.0946472881956752
HeadAt-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,6,52,0.027649769585253458,0.11538461538461539,1.0432692307692308,1.0054097375275497
EyebrowUpN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,50,0.02304147465437788,0.1,0.9041666666666667,0.9882232462877625
HeadAt-GestAdaptorArms-null,3,Dom,Spk,-0.34608333333333335,4,31,0.018433179723502304,0.12903225806451613,1.1666666666666665,1.0211640211640212
HeadAt-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,38,0.018433179723502304,0.10526315789473684,0.9517543859649121,0.9940363242071022
RestHandsTogether-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,32,0.02304147465437788,0.15625,1.4127604166666665,1.0541047960402798
HeadDownN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,5,37,0.02304147465437788,0.13513513513513514,1.2218468468468469,1.0283698156682028
HeadDownN-HeadDownL-null,3,Dom,Spk,-0.34608333333333335,4,37,0.018433179723502304,0.10810810810810811,0.9774774774774775,0.9972070939812876
HeadDownN-HeadUpL-null,3,Dom,Spk,-0.34608333333333335,5,29,0.02304147465437788,0.1724137931034483,1.5589080459770115,1.0746927803379416
HeadUpL-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,5,24,0.02304147465437788,0.20833333333333334,1.8836805555555556,1.1234537957797721
HeadNodLN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,19,0.018433179723502304,0.21052631578947367,1.9035087719298243,1.1265745007680492
HeadDownN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,6,40,0.027649769585253458,0.15,1.35625,1.0463540254811603
EyebrowUpN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,37,0.018433179723502304,0.10810810810810811,0.9774774774774775,0.9972070939812876
HeadDownN-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,27,0.018433179723502304,0.14814814814814814,1.3395061728395061,1.0440793428170707
RestHandsTogether-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,17,0.018433179723502304,0.23529411764705882,2.127450980392157,1.163062743707905
HeadDownH-GestAdaptorArms-null,3,Dom,Spk,-0.34608333333333335,4,7,0.018433179723502304,0.5714285714285714,5.166666666666666,2.075268817204301
HeadNodLN-HeadDownL-null,3,Dom,Spk,-0.34608333333333335,5,21,0.02304147465437788,0.23809523809523808,2.1527777777777777,1.1673387096774195
HeadDownL-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,39,0.018433179723502304,0.10256410256410256,0.9273504273504273,0.991046741277156
RestHandsTogether-HeadDownL-null,3,Dom,Spk,-0.34608333333333335,4,24,0.018433179723502304,0.16666666666666666,1.5069444444444442,1.0672811059907834
HeadUpL-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,19,0.018433179723502304,0.21052631578947367,1.9035087719298243,1.1265745007680492
HeadUpL-GestAdaptorArms-null,3,Dom,Spk,-0.34608333333333335,5,24,0.02304147465437788,0.20833333333333334,1.8836805555555556,1.1234537957797721
HeadUpL-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,23,0.018433179723502304,0.17391304347826086,1.572463768115942,1.076643220955615
HeadNodLN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,5,22,0.02304147465437788,0.22727272727272727,2.054924242424242,1.1509894280292763
RestHandsTogether-HeadNodLN-null,3,Dom,Spk,-0.34608333333333335,5,16,0.02304147465437788,0.3125,2.825520833333333,1.2936740678676164
EyebrowUpN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,36,0.018433179723502304,0.1111111111111111,1.0046296296296295,1.0005760368663597
EyebrowUpN-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,5,26,0.02304147465437788,0.19230769230769232,1.7387820512820513,1.1011630458635067
RestHandsTogether-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,5,23,0.02304147465437788,0.21739130434782608,1.9655797101449273,1.1364567332309268
GestAdaptorArms-GestAdaptorArms-null,3,Dom,Spk,-0.34608333333333335,4,22,0.018433179723502304,0.18181818181818182,1.6439393939393938,1.0870455709165388
RestHandsTogether-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,33,0.018433179723502304,0.12121212121212122,1.095959595959596,1.0120769108533292
RestOver-RestOver-null,3,Dom,Spk,-0.34608333333333335,4,17,0.018433179723502304,0.23529411764705882,2.127450980392157,1.163062743707905
HeadAt-HeadAt-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,32,0.018433179723502304,0.125,1.1302083333333333,1.0164581961816985
HeadAt-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,5,30,0.02304147465437788,0.16666666666666666,1.5069444444444442,1.0672811059907834
