Sequence;Cluster;Dimension;Turn;Value;nBeforeCluster;nAllSegments;Support;Confidence;Lift;Conviction
HeadNodNN-HeadNodLN-null;0;Frd;Lstn;-0.1335;7;11;0.04046242774566474;0.6363636363636364;1.8659476117103235;1.8121387283236994
RestUnder-null;0;Frd;Lstn;-0.1335;6;10;0.03468208092485549;0.6;1.759322033898305;1.6473988439306357
HeadNodNN-HeadNodNN-null;0;Frd;Lstn;-0.1335;6;10;0.03468208092485549;0.6;1.759322033898305;1.6473988439306357
HeadNodLN-HeadNodLN-null;0;Frd;Lstn;-0.1335;6;11;0.03468208092485549;0.5454545454545454;1.5993836671802772;1.4497109826589594
RestOver-null;0;Frd;Lstn;-0.1335;7;13;0.04046242774566474;0.5384615384615384;1.5788787483702738;1.4277456647398843
BodyStraight-null;0;Frd;Lstn;-0.1335;8;16;0.046242774566473986;0.5;1.4661016949152543;1.3179190751445087
BodyLeanL-null;0;Frd;Lstn;-0.1335;5;10;0.028901734104046242;0.5;1.4661016949152543;1.3179190751445087
HeadNodNN-HeadAt-null;0;Frd;Lstn;-0.1335;6;12;0.03468208092485549;0.5;1.4661016949152543;1.3179190751445087
GestAdaptorArms-null;0;Frd;Lstn;-0.1335;11;23;0.06358381502890173;0.4782608695652174;1.4023581429624172;1.2630057803468209
RestHandsTogether-null;0;Frd;Lstn;-0.1335;8;17;0.046242774566473986;0.47058823529411764;1.3798604187437686;1.2447013487475915
HeadDownN-null;0;Frd;Lstn;-0.1335;23;50;0.1329479768786127;0.46;1.348813559322034;1.220295439948619
HeadNodLN-null;0;Frd;Lstn;-0.1335;15;34;0.08670520231213873;0.4411764705882353;1.2936191425722832;1.1791907514450868
HeadNodNN-null;0;Frd;Lstn;-0.1335;14;32;0.08092485549132948;0.4375;1.2828389830508475;1.1714836223506744
HeadTiltL-null;0;Frd;Lstn;-0.1335;5;12;0.028901734104046242;0.4166666666666667;1.2217514124293787;1.1296449215524362
HeadUpL-null;0;Frd;Lstn;-0.1335;6;15;0.03468208092485549;0.4;1.1728813559322036;1.0982658959537572
HeadDownH-null;0;Frd;Lstn;-0.1335;5;13;0.028901734104046242;0.38461538461538464;1.1277705345501956;1.0708092485549132
SmileH-null;0;Frd;Lstn;-0.1335;6;16;0.03468208092485549;0.375;1.0995762711864407;1.0543352601156069
HeadAt-null;0;Frd;Lstn;-0.1335;15;45;0.08670520231213873;0.3333333333333333;0.9774011299435028;0.9884393063583814
HeadNodLY-null;0;Frd;Lstn;-0.1335;5;15;0.028901734104046242;0.3333333333333333;0.9774011299435028;0.9884393063583814
