% 1. Title: Touch Sequences Database
   %
   % 2. Sources:
   %      (a) Creators: F. Boucaud, M. Grimaldi
   %      (b) Donor:
   %      (c) Date: July, 2022
   %
   @RELATION touchsequences
   @ATTRIBUTE totalduration  NUMERIC
   @ATTRIBUTE initialimpactvelocity   NUMERIC
   @ATTRIBUTE meanforce  NUMERIC
   @ATTRIBUTE meanvelocity   NUMERIC
   @ATTRIBUTE tactilecells   string
   @ATTRIBUTE handparts   string
   @ATTRIBUTE class        {Hit,Caress,Tap,Maintained}
   @DATA
0.04594135, 16.10193, 0, 0,'RightArm,Spine1,LeftArm,Spine,LeftForeArm,RightHand,Spine3,RightForeArm,RightHand','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_pinky_end,R_ring_end,R_index_end,R_ring_a',Maintained
0.008460045, 8.486401, 0, 0,'RightArm,Spine1,HeadCollider,RightAr,Spine4,Spine3,RightForeArm,RightArm','R_index_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_ring_meta,R_middle_b,R_pinky_end,R_middle_c,R_pinky_meta,R_index_c,R_middle_meta,R_index_meta,R_index_b,R_index_a,R_thumb_end,R_ring_a,R_ring_c,R_ring_b,R_Wrist,R_thumb_meta,R_Palm,R_middle_end,R_ring_end,R_index_end,R_thumb_b,R_thumb_a',Maintained
6.602629, 0.1559404, 0, 0,'RightArm,Spine1,Spine3,HeadCollider,Spine,Spine4,Spine3','R_ring_c,R_ring_b,R_index_c,R_index_b,R_middle_end,R_middle_end,R_ring_end,R_pinky_c,R_index_end,R_middle_b,R_middle_c,R_pinky_end',Maintained
0.5608363, 0, 0, 0,'RightArm,LeftArm,Spine1,Spine3,HeadCollider,RightAr,LeftForeArm,LeftHand,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_middle_a,L_index_end,L_thumb_meta,L_ring_end,L_thumb_a,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_thumb_end,L_ring_c,L_ring_a',Tap
0.001005173, 3.713711, 0, 0,'Spine1,LeftArm,Spine3,Spine,Spine3','R_ring_c,R_ring_b,R_index_c,R_middle_end,R_pinky_c,R_pinky_b,R_pinky_c,R_ring_end,R_index_end,R_middle_c,R_pinky_end',Tap
2.007837, 0, 1.235505, 13.8845,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,LeftForeArm,LeftHand,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_index_meta,L_middle_a,L_Wrist,L_pinky_end,L_thumb_a,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_pinky_meta,L_thumb_meta,L_ring_meta,L_ring_end,L_middle_meta,L_thumb_end',Tap
1.564101, 0, 0, 0,'RightArm,Spine1,Spine3,Spine,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_middle_a,L_pinky_b,L_index_end,L_pinky_end,L_ring_end,L_middle_end,L_middle_end,L_ring_b,L_ring_c,L_ring_a',Tap
0.04451656, 17.59557, 0, 0,'RightArm,Spine1,LeftArm,RightAr,LeftForeArm,LeftHand,Spine1,Spine4,Spine3,RightForeArm,RightHand','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_ring_end,R_index_b,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_b,R_thumb_end,R_thumb_a,R_ring_a',Tap
0.01347685, 19.2945, 0, 0,'RightArm,Spine1,LeftArm,HeadCollider,Spine,LeftForeArm,LeftHand,Spine1,Spine4,Spine3,RightForeArm,RightHand','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_index_b,R_middle_end,R_middle_b,R_ring_end,R_index_a,R_index_end,R_thumb_b,R_thumb_end,R_thumb_a,R_ring_a',Tap
0.005856514, 10.29281, 0, 0,'RightArm,Spine1,Spine,Spine4,Spine3,RightForeArm,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_middle_a,L_pinky_b,L_index_end,L_pinky_meta,L_pinky_end,L_ring_meta,L_middle_b,L_ring_end,L_thumb_a,L_middle_meta,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_thumb_end,L_ring_a',Tap
0.005055428, 10.35721, 0, 0,'RightArm,Spine1,Spine,Spine1,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_middle_a,L_pinky_b,L_index_end,L_pinky_meta,L_pinky_end,L_ring_meta,L_ring_end,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_ring_a',Caress
0.003764153, 10.09554, 0, 0,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,LeftForeArm,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_ring_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_b,R_thumb_end,R_ring_a',Caress
0.04166222, 6.760734, 0, 0,'RightArm,HeadCollide,LeftArm,Spine1,HeadCollider,Spine1,Spine4,Spine3','L_index_c,L_index_b,L_pinky_c,L_index_a,L_middle_c,L_middle_b,L_pinky_a,L_pinky_b,L_middle_a,L_index_end,L_ring_end,L_pinky_end,L_ring_end,L_middle_end,L_ring_b,L_ring_c,L_ring_a',Caress
0.005584717, 8.440259, 0.8248665, 9.829682,'RightArm,Spine1,Spine,Spine1,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_middle_a,L_Wrist,L_pinky_end,L_thumb_a,L_middle_end,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_index_end,L_pinky_meta,L_ring_meta,L_ring_end,L_middle_meta,L_thumb_end',Caress
